Item_Name,Item_Description,Item_Price,Must_Try
Dal Makhani Combo - 2,24-Hour Dal Makhani (500g) + Soya Angaar Chaap (200g) + Choice Of Bread ,₹700,False
Gosht Dum Biryani {600g},A master piece from the kingdom of Rampur this biryani is made from ,₹590,True
24-Hour Dal Makhani {550g},Classic black lentils slow cooked over night with tomatoes cream and butter.,₹390,True
Murgh Kachi Biryani {600g},Boneless chicken cooked in true Hydrabadi style with basmati rice and saffron.,₹490,False
Butter Chicken {550g},Classic boneless chicken tikka tossed in buttery creamy makhani gravy flavoured with dried ,₹450,True
Murgh Angaar {8 pcs},Boneless chicken leg marinated in a blend of spices coated with butter-roasted flour ,₹410,True
Butter Chicken Combo,Butter Chicken (300g) + Choice Of bread (2 pcs) + Coconut Phirni With ,₹445,False
Dal Makhani Combo,24-Hour Dal Makhani [250 grams]+Soya Angaar Chaap [4 pcs]+ Choice of Bread (2pcs),₹425,False
Murgh Malai Tikka {8 pcs},Boneless chicken leg marinated in a creamy cheese and cashew nut paste all ,₹410,False
Paneer Makhani Combo,Paneer Makhani (250g) + Choice Of Bread (2 pcs) + Coconut Phirni with ,₹425,False
Soya Angaar Chaap {10pcs},Soya chaap marinated in a blend of spices coated with butter-roasted flour chargrilled ,₹390,False
Tandoori Chicken,The King of kebabs chargrilled chicken on bone marinated with hung yoghurt and ,₹390,True
Chicken Tikka Masala {550g},Classic chicken tikka tossed in a balanced mix of makhani and lababdar creating ,₹450,False
Paneer Makhani {550g},Batons of paneer tossed in buttery creamy makhani gravy flavoured with dried fenugreek ,₹410,False
Pressure Cooker Gosht {550g},A classic lamb curry made extra tender and flavourful in a pressure cooker.,₹510,False
Butter Naan,A classic refined flour bread cooked in a tandoor and smothered in butter.,₹75,False
Garlic Naan,A classic refined flour bread with chopped garlic and coriander cooked in a ,₹75,False
Dal Makhani Combo - 4,24-Hour Dal Makhani (1000g) + Soya Angaar Chaap (200g) + Choice Of Bread ,₹1250,True
Paneer Pudina Tikka {8 pcs},Sigri grilled shashlik of cottage cheese green peppers tomatoes and pineapple marinated in ,₹350,True
Murgh Angaar Roll,Juicy boneless chicken kebab wrapped inside a special kalonji and beetroot flavoured casing ,₹275,True
Coconut Phirni with Mango Compote,A take on a classic phirni made with coconut mix cashew and topped ,₹150,True
Paneer Khurchan Roll,A tempting tangy loaded paneer roll wrapped in an ajwain and spinach flavoured ,₹250,True
Paneer Makhani Combo,Paneer Makhani (250g) + Choice Of Bread (2 pcs) + Coconut Phirni with ,₹425,False
Dal Makhani Combo,24-Hour Dal Makhani [250 grams]+Soya Angaar Chaap [4 pcs]+ Choice of Bread (2pcs),₹425,False
Kashmiri Subz Biryani Combo,Kashmiri Subz Biryani (300g) + Burhani Raita (100g) + Coconut Phirni with Mango ,₹425,False
Butter Chicken Combo,Butter Chicken (300g) + Choice Of bread (2 pcs) + Coconut Phirni With ,₹445,False
Murgh Biryani Combo,Murgh Kachi Biryani (300g) + Burhani Raita (100g) + Coconut Phirni with Mango ,₹445,False
Paneer Makhani Combo - 2,Paneer Makhani (500g) + Choice Of Bread (4 pcs) + Choice Of Dessert ,₹700,False
Dal Makhani Combo - 2,24-Hour Dal Makhani (500g) + Soya Angaar Chaap (200g) + Choice Of Bread ,₹700,False
Kashmiri Subz Biryani Combo - 2,Kashmiri Subz biryani (600g) + Burhani Raita (100g) +  Choice Of Dessert ,₹700,False
Butter Chicken Combo - 2,Butter Chicken (300g) + Choice Of bread (4 pcs) + Choice Of Dessert ,₹750,False
Murgh Biryani Combo - 2,Murgh Kachi Biryani (600g) + Burhani Raita (100g) + Choice Of Dessert (100gx2),₹750,False
